SR. NO.,Date,Day,Occasion
1,26/1/2023 ,Thursday,Republic Day
2,7/3/2023,Tuesday,Holi
3,30/3/2023 ,Thursday,Ram Navami
4,4/4/2023,Tuesday,Mahavir Jayanti
5,7/4/2023,Friday,Good Friday
6,14/4/2023 ,Friday,Dr. Baba Saheb Ambedkar Jayanti
7,1/5/2023,Monday,Maharashtra Day
8,29/6/2023 ,Thursday,Bakri Id
9,15/8/2023 ,Tuesday,Independence Day
10,19/9/2023 ,Tuesday,Ganesh Chaturthi
11,2/10/2023,Monday,Mahatma Gandhi Jayanti
12,24/10/2023 ,Tuesday,Dussehra
13,14/11/2023 ,Tuesday,Diwali-Balipratipada
14,27/11/2023 ,Monday,Gurunanak Jayanti
15,25/12/2023 ,Monday,Christmas
16,22/1/2024 ,Monday,Special Holiday
17,26/1/2024 ,Friday,Republic Day
18,8/3/2024,Friday,Mahashivratri
19,25/3/2024 ,Monday,Holi
20,29/3/2024 ,Friday,Good Friday
21,11/4/2024,Thursday,Id-Ul-Fitr (Ramadan Eid)
22,17/4/2024 ,Wednesday,Shri Ram Navmi
23,1/5/2024,Wednesday,Maharashtra Day
24,20/5/2024 ,Monday,General Parliamentary Elections
25,17/6/2024 ,Monday,Bakri Id
26,17/7/2024 ,Wednesday,Moharram
27,15/8/2024 ,Thursday,Independence Day/Parsi New Year
28,2/10/2024,Wednesday,Mahatma Gandhi Jayanti
29,1/11/2024,Friday,Diwali Laxmi Pujan*
30,15/11/2024 ,Friday,Gurunanak Jayanti
31,25/12/2024 ,Wednesday,Christmas
